,lat,lon,Observat,Predit,diff
1433,1.341664553,-76.89954,70.0,19.471138,50.52886199951172
1435,-27.8809948,-66.11779,151.0,205.68715,54.68714904785156
1452,40.86764908,68.20481,326.0,296.07977,29.92022705078125
1458,13.31765938,-6.818183,365.0,307.13397,57.86602783203125
1468,34.84596634,70.451004,349.0,312.9966,36.003387451171875
1477,50.84103012,3.0650852,312.0,269.07758,42.92242431640625
1491,16.35170555,44.844357,181.00000000000003,216.37178,35.371780395507784
1511,39.14954758,22.382383,274.0,300.77893,26.7789306640625
1552,34.10725403,70.451004,349.0,310.44843,38.55157470703125
1571,10.68721867,36.758045,32.0,359.5804,327.5804138183594
1572,15.91827488,38.555004,200.0,60.658577,139.34142303466797
1585,31.46537399,56.524582,332.0,303.24643,28.753570556640625
1614,34.84596634,59.22002,291.00000000000006,317.4121,26.412109374999943
1619,16.35170555,43.49664,181.00000000000003,223.18912,42.1891174316406
1626,36.6695137,8.905199,350.00000000000006,324.46048,25.539520263671932
